year,team,three_year_bb_park_factor,one_year_bb_park_factor,three_year_so_park_factor,one_year_so_park_factor,three_year_h_park_factor_rhb,one_year_h_park_factor_rhb,three_year_h_park_factor_lhb,one_year_h_park_factor_lhb
2022,stl,98,99,89,87,100,101,95,95
2021,stl,100,92,92,92,96,97,95,97
2020,stl,101,108,92,87,99,103,94,95
2019,stl,99,100,95,95,98,96,97,94
2018,stl,97,96,95,93,100,103,98,94
2017,stl,97,102,96,99,100,98,101,101
2025,lad,101,107,99,102,99,99,95,98
2024,lad,98,101,101,95,98,98,95,96
2023,lad,95,97,105,101,97,98,95,92
2022,lad,94,96,106,108,99,97,96,102
2021,lad,91,96,103,107,98,98,95,92
2020,lad,89,93,104,97,98,106,97,93
2019,lad,91,87,107,103,95,96,96,100
2018,lad,93,90,109,109,93,97,96,95
2017,lad,93,97,109,110,94,91,94,94
